x/c
0.0
0.0008
0.0018
0.0048
0.0074
0.0122
0.0249
0.0497
0.075
0.0998
0.1246
0.1497
0.1992
0.2496
0.2992
0.3495
0.3993
0.4494
0.4995
0.5493
0.5993
0.6492
0.6997
0.7493
0.7993
0.8495
0.8992
0.9236
0.9493
0.974
1.0
1.0
1.0
0.9743
0.949
0.9244
0.8995
0.8495
0.7997
0.7495
0.6995
0.6495
0.5993
0.5492
0.4995
0.4491
0.3993
0.3494
0.2997
0.2496
0.1996
0.1497
0.1244
0.0996
0.0747
0.0504
0.0253
0.0126
0.008
0.0055
0.0026
0.0015
0.0
